titleId,aggregateRating,totalVotes,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
tt3042384,7.4,62956,789,426,640,1201,2660,7072,16239,18869,9655,5405
tt2486278,3.1,697,178,116,132,95,54,31,16,11,10,54
tt1361313,5.8,5581,234,146,230,466,958,1432,1105,519,184,307
tt0222124,6.1,467,20,10,30,27,55,115,92,59,22,37
tt0421229,7.6,4633,90,34,32,69,168,391,841,1264,781,963
tt0202382,6.2,11141,498,355,488,771,1323,2051,2310,1452,661,1232
tt0113403,7.2,2909,80,28,37,64,138,360,743,577,396,486
tt1054115,5.1,4624,323,308,389,599,962,888,597,248,81,229
tt3195056,6.4,146,2,4,4,6,17,40,36,23,7,7
tt0061683,6.5,6016,71,51,106,220,652,1547,1854,833,263,419
tt0061369,6.6,13057,102,58,171,441,1278,3697,4418,1722,491,679
tt1340107,7.6,43010,347,176,247,461,1139,3750,11277,15194,6594,3825
tt0052997,7.2,5897,50,37,37,74,224,745,1995,1489,554,692
tt0040597,6.8,1293,18,12,12,49,86,304,363,216,85,148
tt0080923,6.5,26172,487,378,669,1357,2768,5535,7010,4205,1730,2033
tt2990126,5.8,4697,200,92,166,393,850,1307,936,381,127,245
tt0069047,4.9,1152,72,69,120,190,273,184,114,53,24,53
tt0067690,6.5,8078,164,142,211,429,863,1658,2157,1320,531,603
tt3541524,5.3,10021,819,550,718,1126,1950,2124,1424,652,227,431
tt0065073,6.3,7594,112,92,145,388,985,2310,1945,824,282,511
tt0179231,4.6,1301,164,154,145,226,206,154,97,41,33,81
tt0133385,6.0,48193,955,939,1737,3450,8113,13981,10549,4478,1522,2469
tt11469110,6.5,1201,11,4,4,9,17,26,110,239,434,347
tt0100263,7.2,81251,822,487,696,1526,3751,10103,23644,23436,9781,7005
tt0066064,6.5,1935,32,27,22,83,220,494,614,268,75,100
tt0054443,7.3,21195,187,72,128,273,945,2949,7313,5827,1913,1588
tt4226388,7.6,66895,914,525,788,1241,2604,5786,14114,20930,12165,7828
tt1634013,8.1,13678,379,98,138,163,332,595,1328,2187,2101,6357
tt4547056,6.6,68733,1134,690,1251,2635,6650,15972,21897,12022,3695,2787
tt0108167,7.3,2045,40,36,56,50,108,236,440,505,262,312
tt1646958,7.5,1705,59,22,29,39,70,149,322,380,267,368
tt0436730,7.7,16630,153,60,88,162,458,1281,3506,5223,2865,2834
tt0253126,6.1,3837,118,63,114,226,501,1000,901,457,197,260
tt0328107,7.7,417393,2033,1128,2039,4294,11784,34849,96783,137853,67003,59627
tt4158096,6.3,53221,1254,912,1409,2769,6526,13619,15493,7633,2010,1596
tt0469640,5.8,4846,252,166,251,415,665,973,835,499,254,536
tt4714782,6.1,45662,1784,1223,1816,3418,6376,10667,10634,6030,2093,1621
tt10451914,5.4,48289,2118,1442,2709,5511,11245,12930,7069,2631,868,1766
