titleId,imdbUrl,originalTitle,titleType,releaseYear,runtimeMinutes,isAdult,imdbRating,numberOfVotes,allCountries,mainCountry,allLanguages,firstLanguage,englishTitle,topFiveActors,directors,writers,plotShort,plotMedium,plotLong,genres,keywords,production,tmdb_id,budget,revenue,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,original_language,tagline,status,spoken_languages,production_countries,aggregateRating,totalVotes,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10,ml_rating_count,ml_rating_mean,ml_rating_std,ml_rating_median,ml_rating_0_5,ml_rating_1_0,ml_rating_1_5,ml_rating_2_0,ml_rating_2_5,ml_rating_3_0,ml_rating_3_5,ml_rating_4_0,ml_rating_4_5,ml_rating_5_0,ml_tags,arthouse_score,arthouse_reasoning,is_arthouse_rule,arthouse_source
tt26348541,https://www.imdb.com/title/tt26348541/,La empresa,movie,2023.0,94.0,False,6.4,5.0,DE,DE,"es, de, en",es,,"Ernesto Oliva, Miguel Barrera, Antonio Barrera, Yvonne Bernal, Eugenio Garcia Cruz",André Siegers,"Philipp Diettrich, André Siegers","In search of a story, a German film crew ends up in El Alberto, Mexico, where villagers re-enact illegal border crossings to the USA based on the experiences of the locals.",,,Documentary,,"Fünferfilm UG, Mischief Films",1063985.0,0.0,0.0,0.0362,0.0,0.0,es,,Released,"English, German, Spanish",DE,5.8,6.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,8.0,"Meta-documentary exploring representation, performance, and ethic",False,llm_only
tt0001914,https://www.imdb.com/title/tt0001914/,Die Sünden der Väter,movie,1913.0,,False,,,"DE, DK",DE,"zxx, de",zxx,,"Asta Nielsen, Fritz Weidemann, Emil Albes, Hermann Seldeneck, Max Wogritsch",Urban Gad,"Urban Gad, Hermann Sudermann",Hanna is a lush and her artist friend abandons her only to reacquaint himself with when she is down and out. His motive is to paint her as a washed up women. When she realizes his intentions she ruins his painting and him.,"Because of the shiftless habits of her father Hanna is obliged to seek employment as an artist's model in Harlow's studio, where she meets Marten, a rising genius, who later has the girl pose for him. He soon shows evidence of a very high regard for the girl, which she reciprocates, losing her former affection for her childhood friend, Hans a faithful, honest and worthy young gardener. Through Harlow's influence the young artist secures a scholarship and goes to Italy for study on the eve of his departure proclaiming his love to his benefactor's daughter. Hanna, broken-hearted by her lover's treachery, falls into evil habits, finally becoming destitute. She obtains employment in Harlow's household, where she again sees Marten, who returns a celebrated artist. Unable to resist the hopelessness of her position the girl sinks to the lowest depths of misery, where she is found some time later by Marten, in seeking a model for a picture to depict the misery of the hopeless. The artist hopefully begins his task, which is soon interrupted by the violent death of Hanna's father, at whose bier she vows to lead a better life in the strength of her new resolve Hanna strives for better things, regains the love of Hans, improves her condition and begins again to experience the joys of a new life, which drives the expression of hopelessness from her face. Upon learning the cause that threatens destruction to his picture, Marten profiting by the knowledge of her weakness, shamefully tries to again make love to the girl. The expression of misery again returns. The picture is finished and pronounced a masterpiece, and the young painter is receiving the plaudits of his fiancée and her father, when Hanna, whose downfall has cost the love of Hans, appears on the scene, reveals Marten's perfidy and destroys the canvas in a tense and most dramatic scene.",,Drama,"friend, based on novel","General Film Company, Internationale Film-Vertriebs, Deutsche Bioscop GmbH, Projektions-AG Union (PAGU), Pathé Frères",649140.0,0.0,0.0,0.1081,0.0,0.0,de,,Released,No Language,DE,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,"Early silent cinema with psychological depth, moral ambiguity, ch",False,llm_only
tt5157326,https://www.imdb.com/title/tt5157326/,Western,movie,2017.0,121.0,False,7.0,4356.0,"DE, BG, AT",DE,"de, bg, en, fr",de,Western,"Meinhard Neumann, Reinhardt Wetrek, Syuleyman Alilov Letifov, Veneta Fragnova, Viara Borisova",Valeska Grisebach,Valeska Grisebach,"German construction workers building a dam near a Bulgarian village interact with the locals, and soon the troubles arise both with the locals and among themselves.","A group of German construction workers start a tough job at a remote site in the Bulgarian countryside. The foreign land awakens the men's sense of adventure, but they are also confronted with their own prejudice and mistrust due to the language barrier and cultural differences. The stage is quickly set for a showdown when men begin to compete for recognition and favor from the local villagers.",,Drama,"construction, language barrier, horse, quarry, stream, reference to world war two, eastern europe, cigarette smoking, non professional actor, bulgaria, migration, f rated, one word title, german abroad, construction worker, infrastructure, poverty, death of horse, water shortage, fight, village, poker, tobacco, german flag, countryside, landscape, sex scene, title directed by female","The Cinema Guild, CDI Films, Film Europe, Film Europe, Good Films, One from the heart, Periscoop Film, Piffl Medien, Shellac Distribution, Stadtkino Filmverleih, Hoanzl, Interior13 Cine, La Aventura, Leopardo Filmes, The Criterion Channel, good movies!, trigon-film, Komplizen Film, Chouchkov Brothers, Coop99 Filmproduktion, KNM, Das kleine Fernsehspiel (ZDF), ARTE, Adag Film Services, Arsis Consulting, Auf und davon, BASIS BERLIN Postproduktion, Bauer Bulgaria, Beauftragte der Bundesregierung für Kultur und Medien (BKM), Bulgarian National Film Center, Caninenberg & Schouten, Commerzbank, Deutscher Filmförderfonds (DFFF), Emons Spedition, Filmförderungsanstalt (FFA), Lion Rent-a-Car, Ludwig Kameraverleih, MEDIA Programme of the European Union, Medienboard Berlin-Brandenburg, Metrix Media, Mitteldeutsche Medienförderung (MDM), The Post Republic, Upper Level Travel, Österreichisches Filminstitut",452000.0,1800000.0,0.0,0.6332,6.6,118.0,de,,Released,"Bulgarian, German, French, English","DE, AT, BG",7.0,4453.0,97.0,39.0,76.0,143.0,314.0,758.0,1318.0,1128.0,394.0,186.0,,,,,,,,,,,,,,,,8.0,"Auteur-driven slow cinema exploring intercultural tensions, minim",False,llm_only
tt5838994,https://www.imdb.com/title/tt5838994/,Inuti ett träd,movie,2016.0,59.0,False,,,"SE, MZ",SE,sv,sv,,,Gustav Ågerstrand,,"The title 'In a tree' refers to the surface all humans carry as a shield, and the ability and courage to face the real person beneath that surface.",,,Documentary,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Experimental documentary exploring identity through philosophical,False,llm_only
tt12424908,https://www.imdb.com/title/tt12424908/,Le Nouvel Hiver (Carnet Filmé: 1er janvier 1989 - 31 décembre 1991),movie,1991.0,110.0,False,,,FR,FR,,,,"Laurence Arcadias, Régis Audigier, Sophie Balazard, Galaxie Barbouth, Juliet Berto",Gérard Courant,,,,,Documentary,"year in title, 20th century, 1980s, 1990s, number in title",Les Amis de Cinématon,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,"Experimental diary film, minimal commercial concessions, avant-ga",False,llm_only
tt2822400,https://www.imdb.com/title/tt2822400/,Tore tanzt,movie,2013.0,110.0,False,6.9,2268.0,DE,DE,de,de,Nothing Bad Can Happen,"Julius Feldmeier, Sascha Alexander Gersak, Annika Kuhl, Gro Swantje Kohlhof, Daniel Michel",Katrin Gebbe,Katrin Gebbe,"Inspired by horrifying true events, Nothing Bad Can Happen follows Tore, a young lost soul involved with an underground Christian punk movement who falls in with a dysfunctional family who test his seemingly unwavering faith.","The young Tore seeks in Hamburg a new life among the religious group called The Jesus Freaks. When he by accident meets a family and helps them to repair their car, he believes that a heavenly wonder has helped him. He starts a friendship with the father of the family, Benno. Soon he moves in with them at their garden plot, not knowing what cruelty is there to come. True to his religious belief he stays with them although the increasing violence by Benno is torturing him. Tore is fighting the torment with his own weapons. So a dangerous struggle between libidinous actions and altruism begins. Inspired by true events.",,"Crime, Drama, Horror, Thriller","death of protagonist, murder, killing a cat, cruelty, violence, sadism, forced to eat, killing an animal, birthday gift, male virgin, teenage boy, male on male rape, rape, humiliation, rotten food, religion, gay sex, sex scene, abusive stepfather, inspired by a true story, friendship, reference to god, tortured to death, disposing of a dead body, evil couple, evil man, torture, evil woman, spitting on someone, keyboard, murder attempt, taking a shower, nurse, origami, food poisoning, sexual violence, riding a bicycle, maltreatment, bullying, sexual abuse, trampoline, sexual tension, domineering husband, manipulative behavior, manipulative person, manipulative man, camping, bare chested boy, husband wife relationship, virginity, virgin, man wrapped in a towel, table tennis, bare feet on table, feet on table, cigarette trick, epileptic fit, sect, praying, prayer, faith, teenage girl, religious fanatic, pickup truck, airplane, hose, vomiting, force feeding, father daughter relationship, incest, dysfunctional family, swimming pool, drowning a cat, tent, epileptic, epilepsy, car breakdown, religious faith, reference to jesus christ, baptism, chapter headings, dead cat, name in title, character name in title, christian fanatic, title directed by female, drunken woman, man wears a swimsuit, man wears underwear, punched in the face, woman wears a swimsuit, man in a shower, man vomits, hamburg germany, forced prostitution, teenage love, photography, force, gun, violent man, asking questions, reaction, psychotronic film, nihilism, mumbo jumbo, lost soul, detritus, animal abuse, psychological horror, male nudity, f rated, camera shot of bare feet, barefoot male, doctor, dream sequence, hospital room, ambulance, sex crime, feeding someone, male masturbation, overhearing sex, masturbation, psychopath, domestic violence, male male hug, hug, celibacy, hostility, birthday party, party, dog, family trip, family relationships, barefoot female, repressed sexuality, punk, dog barks, whistling, fanatic, fanaticism, preacher, van, drunkenness, bare chested male, voice over narration, christening, water, death, hospital, cat, watching tv, ping pong, barbecue, bumper car, gay character, urination, birthday, male name in title","Drafthouse Films, Rapid Eye Movies, UFO Distribution, Celluloid Dreams, Rapid Eye Movies, Junafilm, Das kleine Fernsehspiel (ZDF), ABC Tiertraining, Axis Mundi, Camera Car Platforms (CCP), Car Motion Service, Nordmedia, Public Système Cinéma, Le, Schleswig-Holstein Film Commission, SpielMobil, Studio Funk, Stunt Unit, Theaterkunst, Gran Arte, Optical Art",188758.0,0.0,4680.0,0.6843,7.101,69.0,de,,Released,German,DE,6.8,2594.0,108.0,38.0,63.0,93.0,188.0,427.0,729.0,520.0,225.0,203.0,,,,,,,,,,,,,,,,8.0,"Provocative auteur vision exploring faith and violence darkly, fe",False,llm_only
tt13213988,https://www.imdb.com/title/tt13213988/,Kino un mes,movie,2020.0,87.0,False,7.4,54.0,LV,LV,lv,lv,,"Egons Dombrovskis, Andris Keiss, Janis Skutelis",Matiss Kaza,"Egons Dombrovskis, Matiss Kaza, Andris Keiss, Janis Skutelis",Three actors return to the legendary times of the Riga Film Studio and re-stage classic Soviet Latvian films.,,,Comedy,,Deep Sea Studios LV,753047.0,15000.0,0.0,0.1625,7.0,2.0,lv,,Released,,LV,7.5,66.0,1.0,3.0,1.0,2.0,3.0,5.0,12.0,17.0,10.0,12.0,,,,,,,,,,,,,,,,7.0,"Meta-cinematic, experimental comedy exploring film history and pa",True,rule_only
tt0116866,https://www.imdb.com/title/tt0116866/,Level Five,movie,1997.0,106.0,False,7.0,969.0,FR,FR,"fr, ja, en",fr,Level Five,"Catherine Belkhodja, Kenji Tokitsu, Nagisa Ôshima, Junichi Ushiyama, Kinjo Shigeaki",Chris Marker,Chris Marker,,"The French computer programmer Laura inherits the task of making a computer game of the Battle of Okinawa during World War II. She searches the internet for information on the battle, and interviews Japanese experts and witnesses. The extraordinary circumstances of the Battle of Okinawa lead Laura to reflect deeply on her own life and humanity in general, particularly the influence of history and memories.",,"Documentary, Romance, War","cult director, military and war documentary, battle of okinawa, computer, memory, japanese, computer programmer, japan, war atrocity, u.s. army, tragic event, suicide, shock, propaganda, okinawa japan, museum, murder, murder suicide, murder of a family, mass suicide, japanese army, historical event, film essay, death of family, atrocity, world war two, male female relationship, love, island, experimental film, director, death, archive footage","Icarus Films, Connaissance du Cinéma, Ripley's Home Video, Les Films de l'Astrophore, Argos Films, Canal+, La Sept Cinéma, Société des Producteurs de Cinéma et de Télévision (Procirep), Cofimage, Centre national du cinéma et de l'image animée (CNC), Karedas, Groupement National des Cinémas de Recherche (GNCR)",57563.0,0.0,0.0,0.6037,6.0,31.0,fr,,Released,"French, Japanese, English",FR,7.0,1010.0,46.0,25.0,21.0,36.0,67.0,142.0,217.0,202.0,119.0,135.0,,,,,,,,,,,,,,,,9.0,"Marker's experimental documentary with formal innovation, fragmen",True,both
tt3906638,https://www.imdb.com/title/tt3906638/,Lost in Bosnia,movie,2014.0,95.0,False,6.7,20.0,BA,BA,en,en,,,"Suncica Fradelic, Ghazi Alqudcy, Graeme Cole, Thierry Garrel, Grant Gulczynski, Namsuk Kim, Patrick Marshall, Aleksandra Niemczyk, Fernando Nogari, Kaori Oda, Manel Raga Raga","Ghazi Alqudcy, Graeme Cole, Suncica Fradelic, Thierry Garrel, Grant Gulczynski, Namsuk Kim, Patrick Marshall, Aleksandra Niemczyk, Fernando Nogari, Kaori Oda, Manel Raga Raga","The experiment presents a cinematic poem to filmmaking and film itself. Directed by eleven filmmakers, all under the vision of Bela Tarr's 'film.factory', delving into what keeps us making films.",,,"Documentary, Biography",f rated,,296201.0,0.0,0.0,0.1259,0.0,0.0,en,,Released,English,"BA, SG, GB",6.7,21.0,6.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,8.0,"Experimental collective project, Bela Tarr influence, avant-garde",False,llm_only
tt2145703,https://www.imdb.com/title/tt2145703/,Ei koskaan yksin,movie,2024.0,85.0,False,8.4,21.0,FI,FI,"sv, yi, ru, he, en, fi, de",sv,,"Ville Virtanen, Hannu-Pekka Björkman, Rony Herman, Kari Hietalahti, Satu Tuuli Karhu",Klaus Härö,"Klaus Härö, Jimmy Karlsson","1942 in Helsinki. The state of Finland has made an alliance with Nazi Germany. One man alone is trying to stop the Finnish security services which were operating in secrecy, to turn over Jewish refugees into the hands of Gestapo.","As the shadow of the Second World War spreads over Central Europe, many Jews flee Hitler's tyranny, seeking sanctuary in distant lands. Some find themselves in Finland, hoping for a fresh start, but the tides of war pull Finland into an alliance with Nazi Germany. Suddenly, the safe haven is not so safe anymore. Amidst the rising tensions and palpable fear, a beacon of hope emerges. Abraham Stiller, a prominent member of the Jewish community in Helsinki and a philanthropist, stands tall. With a vibrant personality, booming voice, and an unwavering commitment to protecting the Jewish asylum seekers, he constantly reassures them, ""This is Finland, not Germany."" But when Jewish refugees are abruptly torn from their families and dispatched to labor camps near the German forces in Northern Finland, Stiller's resolve is put to the test. Determined to uncover the truth and save those under his care, Stiller approaches Arno Anthoni, the newly appointed Chief of the State Police. Instead of finding an ally, Stiller is met with a chilling threat that not only endangers the refugees but the entire Finnish Jewish community. In a treacherous game of politics and loyalties, Stiller balances on a razor's edge, navigating personal emotions and cold strategy. Never Alone is a story of resilience, defiance, and an unyielding pledge to safeguard one's kin in the face of unimaginable adversity.",,"Drama, History, War","man, punctuation in title, exclamation point in title","Menemsha Films, Nordisk Film, Nordisk Film Distribution, Nordisk Film Distribution, Nordisk Film, Nordisk Film, Hobab, Matila Röhr Productions (MRP), Penned Pictures, Samsara Filmproduktion, Taska Film",563470.0,4900000.0,0.0,1.1917,6.5,13.0,fi,,Released,"German, Russian, English, Finnish","EE, FI, SE, AT, DE",6.8,706.0,16.0,8.0,5.0,17.0,45.0,141.0,190.0,169.0,61.0,54.0,,,,,,,,,,,,,,,,7.0,Auteur-driven historical drama with serious thematic depth and mo,True,rule_only
