titleId,originalTitle,releaseYear,mainCountry,firstLanguage,genres,imdbRating,numberOfVotes,arthouse_score
tt13213988,Kino un mes,2020.0,LV,lv,Comedy,7.4,54.0,6
tt0140679,La vie commence demain,1950.0,FR,fr,"Documentary, Drama",7.2,24.0,4
tt0116866,Level Five,1997.0,FR,fr,"Documentary, Romance, War",7.0,969.0,9
tt2145703,Ei koskaan yksin,2024.0,FI,sv,"Drama, History, War",8.4,21.0,5
tt0011179,Os Fidalgos da Casa Mourisca,1921.0,PT,zxx,Drama,8.0,7.0,3
tt6435164,My Love Affair with Marriage,2022.0,LU,en,"Animation, Comedy, Drama, Musical",7.1,571.0,7
tt5816088,Forever Pure,2016.0,GB,he,Documentary,7.4,847.0,7
tt0378174,Kalule,1979.0,DK,da,"Documentary, Biography, Sport",7.2,10.0,4
tt10023172,Passion simple,2020.0,FR,fr,"Drama, Romance",5.4,1244.0,7
tt0360345,Ako te ima,1983.0,BG,bg,Drama,7.4,29.0,4
tt10080052,Historia Lizy,2019.0,UA,ru,Drama,7.2,37.0,6
tt6190908,Hugo på bas,2016.0,DK,da,"Documentary, Biography, Music",7.6,20.0,4
tt2528444,The Day That Never Happened,2006.0,NL,nl,"Drama, Thriller",9.4,8.0,3
tt8620154,Das Vorspiel,2019.0,DE,de,"Drama, Music",6.5,1374.0,7
tt0013178,Ein Glas Wasser,1923.0,DE,zxx,,7.0,6.0,4
tt1418375,En kongelig affære,2012.0,DK,da,"Biography, Drama, History, Romance",7.5,51545.0,8
tt0236799,Topos,1985.0,GR,el,"Drama, History",7.0,134.0,7
tt4082068,Dheepan,2015.0,FR,ta,"Crime, Drama",7.2,17245.0,10
tt12072192,Sri Lanka by Mini Magic Bus,2020.0,IT,it,Documentary,7.2,7.0,3
tt2812242,Verdi: I Due Foscari,2009.0,IT,it,Music,8.2,10.0,3
tt2360424,Checking In,2014.0,GB,en,"Comedy, Drama, Romance",8.4,22.0,6
